nome;caracteristicas;ano;data_registro
acura mdx sh-awd sport utility;good|6 cylinders|gas|other|other|white;2020;2021-04-11
jeep grand cherokee laredo;good|6 cylinders|gas|automatic|rwd|SUV|black;2006;2021-04-10
jeep wrangler sport suv 2d;good|6 cylinders|other|other|4wd|SUV|yellow;2019;2021-04-10
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|SUV|black;2012;2021-04-10
toyota camry le sedan 4d;good|gas|other|fwd|sedan|silver;2017;2021-04-10
ram 1500 crew cab laramie pickup;good|other|other|pickup|red;2017;2021-04-10
jeep wrangler unlimited rubicon;good|other|other|4wd|other|black;2017;2021-04-09
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|SUV|black;2017;2021-04-09
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|SUV|black;2017;2021-04-09
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|SUV|silver;2017;2021-04-09
bmw 1 series 128i coupe 2d;good|other|other|coupe|black;2012;2021-04-08
chrysler 300 limited sedan 4d;good|6 cylinders|gas|other|rwd|sedan|black;2018;2021-04-08
mitsubishi outlander sport es;good|other|other|hatchback|orange;2020;2021-04-08
nissan sentra s sedan 4d;good|gas|other|fwd|sedan|red;2013;2021-04-08
gmc acadia sle-2 sport utility;good|6 cylinders|gas|other|fwd|SUV;2018;2021-04-07
gmc acadia denali sport utility;good|6 cylinders|gas|other|SUV|black;2020;2021-04-07
gmc acadia slt sport utility 4d;good|6 cylinders|gas|other|SUV|white;2020;2021-04-07
lincoln mkz select sedan 4d;good|gas|automatic|fwd|sedan|white;2018;2021-04-07
lexus nx 200t sport utility 4d;good|other|other|hatchback|silver;2015;2021-04-06
buick encore gx select sport;good|gas|automatic|fwd|SUV|red;2020;2021-04-06
jaguar e-pace p300 r-dynamic se;good|gas|other|other|white;2020;2021-04-06
subaru forester;like new|4 cylinders|gas|automatic|SUV|red;2017;2021-04-05
acura tlx;excellent|gas|automatic|fwd|sedan|white;2018;2021-04-05
volvo s60 t5 premier sedan 4d;good|gas|automatic|sedan|blue;2015;2021-04-05
volvo s60 t6 r-design sedan 4d;good|gas|other|sedan|blue;2020;2021-04-05
volvo s60 t6 inscription sedan;good|other|other|sedan|blue;2020;2021-04-05
volvo s60 t8 r-design sedan 4d;good|gas|automatic|sedan|black;2019;2021-04-05
lincoln continental select sedan;good|6 cylinders|other|automatic|sedan|white;2018;2021-04-04
alfa-romeo romeo stelvio sport suv 4d;good|other|other|hatchback|blue;2018;2021-04-04
infiniti qx60 3.5 sport utility;good|6 cylinders|gas|automatic|SUV|blue;2018;2021-04-04
audi q5 45 tfsi premium plus;good|gas|other|SUV|white;2020;2021-04-04
toyota tacoma 4x4;excellent|4 cylinders|gas|manual|4wd|truck|silver;2012;2021-05-04
toyota tacoma;good|4 cylinders|gas|automatic|rwd|truck|silver;2011;2021-05-04
bmw z4;excellent|6 cylinders|gas|automatic|rwd|convertible|white;2005;2021-05-04
ford f150 lariat supercrew 4x4;good|8 cylinders|gas|automatic|4wd|pickup|black;2010;2021-05-04
volkswagen jetta sel;excellent|5 cylinders|gas|automatic|fwd|sedan|black;2011;2021-05-04
ford ranger xlt;excellent|6 cylinders|gas|automatic|rwd|truck|grey;2008;2021-05-04
toyota tacoma double cab;good|6 cylinders|gas|automatic|rwd|truck|white;2007;2021-05-04
ford f150 supercrew cab xlt;excellent|8 cylinders|gas|automatic|4wd|truck|black;2014;2021-05-04
honda crv ex;excellent|4 cylinders|gas|automatic|fwd|SUV|silver;2011;2021-05-04
mazda mx-5 miata touring;excellent|4 cylinders|gas|automatic|rwd|convertible|black;2007;2021-05-04
mazda mx-5 miata grand touring;excellent|4 cylinders|gas|automatic|rwd|convertible|red;2011;2021-05-04
porsche boxster;excellent|6 cylinders|gas|automatic|rwd|convertible|red;2009;2021-05-04
mazda miata;excellent|4 cylinders|gas|manual|rwd|convertible|grey;2008;2021-05-04
lexus rx350;excellent|6 cylinders|gas|automatic|4wd|SUV|white;2009;2021-05-04
lexus gx470;good|8 cylinders|gas|automatic|4wd|SUV;2006;2021-05-04
toyota rav4;good|4 cylinders|gas|manual|green;1998;2021-05-04
ford thunderbird;new|8 cylinders|gas|automatic|fwd|convertible|yellow;2002;2021-05-04
ford mustang;6 cylinders|gas|automatic|rwd|coupe|red;2008;2021-05-04
chevrolet silverado 1500 crew;good|8 cylinders|gas|other|pickup|red;2020;2021-05-04
nissan titan single cab sv;good|8 cylinders|gas|other|4wd|pickup|red;2017;2021-05-04
nissan sentra;4 cylinders|gas|automatic|fwd|sedan|silver;2007;2021-05-04
nissan sentra;excellent|4 cylinders|gas|automatic|fwd|sedan|silver;2015;2021-05-04
kia spectra ex;excellent|4 cylinders|gas|automatic|sedan;2008;2021-05-04
